Dataset,Domain URI,Domain,Predicate URI,Predicate,Range URI,Range,Property kind,Predicate namespace
YAGO,http://schema.org/Event,Event,http://schema.org/startDate,startDate,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/organizer,organizer,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/organizer,organizer,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/children,children,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/homeLocation,homeLocation,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/birthPlace,birthPlace,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/knowsLanguage,knowsLanguage,http://schema.org/Language,Language,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/award,award,http://yago-knowledge.org/resource/Award,Award,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/memberOf,memberOf,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/owns,owns,http://schema.org/Thing,Thing,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/gender,gender,http://yago-knowledge.org/resource/Gender,Gender,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://yago-knowledge.org/resource/academicDegree,academicDegree,http://yago-knowledge.org/resource/Award,Award,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Person,Person,http://schema.org/spouse,spouse,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/deathPlace,deathPlace,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/birthDate,birthDate,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/birthDate,birthDate,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/birthDate,birthDate,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/birthDate,birthDate,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/worksFor,worksFor,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://yago-knowledge.org/resource/beliefSystem,beliefSystem,http://yago-knowledge.org/resource/BeliefSystem,BeliefSystem,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Person,Person,http://schema.org/affiliation,affiliation,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/nationality,nationality,http://schema.org/Country,Country,object,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/deathDate,deathDate,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/deathDate,deathDate,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/deathDate,deathDate,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/deathDate,deathDate,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/Person,Person,http://schema.org/alumniOf,alumniOf,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://yago-knowledge.org/resource/HumanMadeGeographicalEntity,HumanMadeGeographicalEntity,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://yago-knowledge.org/resource/HumanMadeGeographicalEntity,HumanMadeGeographicalEntity,http://yago-knowledge.org/resource/ownedBy,ownedBy,http://schema.org/Organization,Organization,object,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/HumanMadeGeographicalEntity,HumanMadeGeographicalEntity,http://yago-knowledge.org/resource/ownedBy,ownedBy,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/Way,Way,http://yago-knowledge.org/resource/length,length,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/Way,Way,http://yago-knowledge.org/resource/terminus,terminus,http://schema.org/Place,Place,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Airline,Airline,http://schema.org/iataCode,iataCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/Airline,Airline,http://schema.org/icaoCode,icaoCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/EducationalOrganization,EducationalOrganization,http://yago-knowledge.org/resource/studentsCount,studentsCount,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Organization,Organization,http://schema.org/locationCreated,locationCreated,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://yago-knowledge.org/resource/leader,leader,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dissolutionDate,dissolutionDate,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dissolutionDate,dissolutionDate,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dissolutionDate,dissolutionDate,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dissolutionDate,dissolutionDate,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/memberOf,memberOf,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/award,award,http://yago-knowledge.org/resource/Award,Award,object,http://schema.org/
